konum,fiyat,ilan_tarihi,metrekare,bina_yasi,toplam_kat_sayisi,oda_sayisi,bulundugu_kat,kredi_uygunlugu
gaziosmanpasa,600000,01 Şubat 2022,90.0,2,5,2+1,3. Kat,Krediye Uygun
gaziosmanpasa,1150000,05 Ocak 2022,240.0,5,5,3+2,4. Kat,Krediye Uygun
gaziosmanpasa,650000,04 Mart 2022,95.0,5,5,2+1,2. Kat,Krediye Uygun
gaziosmanpasa,850000,08 Şubat 2022,100.0,5,5,2+1,Bahçe Katı,Krediye Uygun
gaziosmanpasa,450000,19 Şubat 2022,100.0,21,5,2+1,Düz Giriş,Krediye Uygun
gungoren,1500000,21 Şubat 2022,100.0,21,9,2.5+1,9. Kat,Krediye Uygun
kadikoy,7000000,16 Şubat 2022,170.0,3,9,4+1,3. Kat,Krediye Uygun
kadikoy,30500000,25 Şubat 2022,350.0,0,12,5+2,12. Kat,Krediye Uygun Değil
kadikoy,3885000,04 Mart 2022,160.0,21,6,3+1,2. Kat,Krediye Uygun
kadikoy,5900000,17 Şubat 2022,220.0,1,12,4+2,12. Kat,Krediye Uygun
kadikoy,1825000,10 Şubat 2022,100.0,21,3,2+1,3. Kat,Krediye Uygun
kadikoy,5295000,07 Şubat 2022,130.0,11,8,3+1,5. Kat,Krediye Uygun
kadikoy,3495000,03 Mart 2022,160.0,21,8,3+1,4. Kat,Krediye Uygun
kadikoy,5150000,25 Ocak 2022,160.0,4,4,3+1,4. Kat,Krediye Uygun Değil
kadikoy,4400000,20 Ocak 2022,150.0,21,8,3+1,8. Kat,Krediye Uygun
kadikoy,6050000,11 Ocak 2022,210.0,3,13,4+2,Çatı Dubleks,Krediye Uygun
kadikoy,7595000,24 Şubat 2022,135.0,0,11,3+1,9. Kat,Krediye Uygun
kadikoy,5250000,29 Aralık 2021,150.0,4,9,3+1,7. Kat,Krediye Uygun
kagithane,1200000,16 Şubat 2022,110.0,0,5,2+1,2. Kat,Krediye Uygun
kagithane,820000,04 Mart 2022,77.0,4,5,2+1,1. Kat,Krediye Uygun
kagithane,3000000,18 Şubat 2022,85.0,4,14,2+1,12. Kat,Krediye Uygun
kagithane,625000,03 Mart 2022,60.0,0,5,1+1,3. Kat,Krediye Uygun
kagithane,15500000,02 Şubat 2022,90.0,11,5,2+1,1. Kat,Krediye Uygun
kagithane,1600000,29 Ekim 2021,128.0,0,14,2+1,11. Kat,Krediye Uygun
kagithane,790000,02 Mart 2022,140.0,21,3,3+1,Çatı Katı,Krediye Uygun Değil
kartal,1000000,25 Şubat 2022,90.0,2,24,2+1,5. Kat,Krediye Uygun
